year,length_mm,width_mm,depth_mm,wheel_base,battery_capacity_avg,range_CLTC_avg,seats,brand_group_encoded,brand_category_encoded,powertrain_插混,powertrain_燃油,powertrain_纯电,ADAS_Level_L2,ADAS_Level_L2+,battery_type_clean_LFP,battery_type_clean_NCM,battery_type_clean_Other,battery_type_clean_Unknown,battery_supplier_clean_CATL,battery_supplier_clean_Other,body_type_SUV,body_type_other,body_type_轿车,size_large,size_medium,size_micro,size_other,size_small
2023,4820,1915.0,1685,2848.0,30.4,182.5,5,3.0976896923951696,3.6652144182541018,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False
2021,4718,1838.0,1535,2810.0,58.5,457.5,5,2.8057939001126773,3.1959619909384864,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
2021,4752,1804.0,1503,2700.0,61.5,515.0,5,3.0976896923951696,2.8964051774756765,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
2022,4006,1765.0,1550,2485.0,36.45,360.5,5,3.0976896923951696,2.8964051774756765,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
2022,4980,1980.0,1450,2980.0,35.0,200.0,5,3.0976896923951696,3.1959619909384864,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False
2021,4780,1837.0,1495,2718.0,22.45,160.0,5,3.027027821700188,2.6634079170556793,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
2024,3860,1670.0,1530,2460.0,36.875,380.0,4,3.0976896923951696,2.6634079170556793,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True
2021,3288,1670.0,1654,2185.0,38.54,410.0,4,3.0976896923951696,2.6634079170556793,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False
2022,4695,1890.0,1545,2900.0,77.4,671.0,5,3.0976896923951696,3.17871221731275,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
2021,3650,1670.0,1540,2390.0,21.6333333333333,228.0,4,3.0976896923951696,2.6634079170556793,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
2021,4005,1760.0,1575,2450.0,37.23,322.0,5,2.8057939001126773,3.1959619909384864,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
2022,4718,1880.0,1530,2750.0,64.35,545.0,5,3.0976896923951696,3.17871221731275,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
2021,4612,1852.0,1640,2765.0,68.05,521.5,5,3.134842315453931,3.17871221731275,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
2021,5210,1998.0,1818,3105.0,18.83,80.0,6,3.6323883145124656,3.1959619909384864,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False
2025,4830,1900.0,1495,2790.0,25.2,178.333333333333,5,3.027027821700188,2.6634079170556793,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
2024,4770,1900.0,1660,2810.0,68.0,510.0,5,3.0976896923951696,3.1959619909384864,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
2021,5040,1910.0,1569,2999.0,54.0,431.0,5,3.0976896923951696,3.6652144182541018,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
2022,4820,1920.0,1750,2820.0,22.1,134.0,5,3.027027821700188,2.6634079170556793,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
2021,4765,1837.0,1495,2718.0,54.0,450.0,5,3.027027821700188,2.6634079170556793,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
2023,3780,1735.0,1540,2500.0,54.42,412.5,5,3.027027821700188,2.6634079170556793,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
2021,4410,1852.0,1655,2672.0,61.1,450.0,5,3.0976896923951696,3.17871221731275,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
2021,4970,1999.0,1548,3005.0,93.0,770.0,5,3.424367008964497,3.6652144182541018,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
2022,4455,1875.0,1615,2720.0,49.9,430.0,5,3.027027821700188,2.6634079170556793,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2024,5010,1985.0,1895,2880.0,27.03,145.0,5,3.0976896923951696,2.8964051774756765,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False
2024,4720,1880.0,1495,2820.0,51.36,507.5,5,3.027027821700188,2.6634079170556793,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
2023,4938,1958.0,1658,2950.0,94.05,655.0,5,3.0976896923951696,3.1959619909384864,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False
2022,4785,1890.0,1660,2765.0,79.42,562.5,5,3.027027821700188,2.6634079170556793,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2023,4890,1970.0,1920,2850.0,39.6,125.0,5,3.027027821700188,3.6652144182541018,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False
2020,4995,1910.0,1495,2920.0,26.1,160.0,5,3.027027821700188,2.6634079170556793,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False
2021,4674,1919.0,1618,2800.0,69.9,505.0,5,3.0976896923951696,2.6634079170556793,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False
2021,4724,1835.0,1493,2715.0,61.1,520.0,5,3.0976896923951696,2.8964051774756765,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
2022,5770,1930.0,1625,2880.0,42.0,230.0,5,3.0976896923951696,3.6652144182541018,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False
2022,4845,1890.0,1778,2825.0,59.565,425.0,7,3.0976896923951696,2.8964051774756765,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False
2024,4870,1890.0,1500,2820.0,22.45,182.5,5,3.027027821700188,2.6634079170556793,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False
2021,4070,1690.0,1540,2420.0,38.54,401.0,5,3.0976896923951696,3.1959619909384864,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
2021,4980,1910.0,1495,2920.0,64.8,600.0,5,3.027027821700188,2.6634079170556793,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False
2022,4815,1874.0,1720,2860.0,71.37,510.0,7,3.0976896923951696,2.6634079170556793,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2024,4822,1912.0,1643,2954.0,74.05,568.0,5,3.0976896923951696,3.17871221731275,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False
2023,4782,1875.0,1489,2752.0,40.445,92.5,5,2.4606793298394085,2.6634079170556793,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
2022,4965,1920.0,1520,2850.0,67.0,590.0,5,3.0976896923951696,3.1959619909384864,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False
2021,4765,1837.0,1515,2718.0,47.5,400.0,5,3.027027821700188,2.6634079170556793,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
2021,4254,1848.0,1596,2650.0,59.1,480.0,5,3.0976896923951696,2.8964051774756765,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
2026,4490,1790.0,1520,2650.0,52.1,485.0,5,3.197676686485871,3.1959619909384864,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
2026,4300,1820.0,1620,2620.0,54.42,455.0,5,3.0976896923951696,3.1959619909384864,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True
2023,4949,1950.0,1725,2830.0,45.8,412.5,7,3.0976896923951696,3.6652144182541018,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
2022,4785,1852.0,1455,2856.0,83.9,590.0,5,3.984151644653932,3.6650119113095108,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False
2024,5260,1900.0,1880,3120.0,74.0,490.0,5,3.0976896923951696,2.8964051774756765,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
2022,4455,1875.0,1615,2720.0,54.0,470.0,5,3.027027821700188,2.6634079170556793,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
2024,4800,1930.0,1750,2800.0,78.055,600.0,5,3.027027821700188,3.6652144182541018,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False
2022,5040,1910.0,1569,2990.0,55.0,431.0,5,3.0976896923951696,3.6652144182541018,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2021,4585,1835.0,1672,2703.0,59.0,403.0,5,2.8057939001126773,3.1959619909384864,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
2025,4580,1860.0,1650,2700.0,49.92,510.0,5,3.0976896923951696,3.1959619909384864,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False
2021,4890,1896.0,1730,2800.0,12.95,70.0,7,3.0976896923951696,3.17871221731275,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False
2022,2930,1517.0,1620,1940.0,13.745,170.5,4,3.0976896923951696,2.6634079170556793,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
2021,4740,1820.0,1530,2700.0,46.0,405.0,5,2.3626704134875314,2.6634079170556793,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
2022,4722,1860.0,1747,2710.0,19.72,100.0,7,3.0976896923951696,2.6634079170556793,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False
2021,4738,1860.0,1710,2712.0,22.45,145.0,5,3.027027821700188,2.6634079170556793,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2024,4925,1960.0,1735,2920.0,36.8,212.0,5,3.6323883145124656,3.1959619909384864,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False
2021,4261,1778.0,1568,2765.0,57.3,430.0,5,3.134842315453931,3.17871221731275,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
2022,5250,1960.0,1920,3110.0,40.0,160.0,7,3.0976896923951696,3.6652144182541018,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
2025,5050,1950.0,1500,3000.0,29.4,200.0,5,3.027027821700188,2.6634079170556793,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False
2021,2980,1496.0,1637,1960.0,20.0,145.0,4,3.0976896923951696,2.6634079170556793,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
2021,4375,1785.0,1680,2535.0,44.5,351.0,5,3.027027821700188,2.6634079170556793,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
2021,4746,1891.0,1683,2864.0,80.0,500.0,5,3.984151644653932,3.6650119113095108,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False
2024,4840,1950.0,1560,2930.0,79.42,604.666666666667,5,3.027027821700188,2.6634079170556793,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
2020,4995,1910.0,1495,2920.0,78.0233333333333,673.666666666667,5,3.027027821700188,2.6634079170556793,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False
2026,5090,1980.0,1750,3000.0,78.4,650.0,7,3.0976896923951696,3.1959619909384864,False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False
2022,4770,1895.0,1689,2845.0,59.3333333333333,442.523334055767,5,2.4606793298394085,2.6634079170556793,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
2023,3840,1742.0,1545,2521.0,28.7333333333333,253.0,5,3.0976896923951696,2.6634079170556793,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True
2026,5325,2015.0,1500,3200.0,130.0,750.0,5,3.0976896923951696,3.1959619909384864,False,False,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False
2023,4860,1935.0,1602,2940.0,91.3,666.0,5,3.0976896923951696,3.6652144182541018,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False
2023,4904,1988.0,1669,2950.0,85.5,756.666666666667,5,3.0976896923951696,3.6652144182541018,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False
2023,5319,2050.0,1930,3050.0,140.0,1000.0,5,3.027027821700188,3.6652144182541018,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False
2025,5040,1996.0,1760,2950.0,97.92,710.0,7,3.027027821700188,2.6634079170556793,False,False,True,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False
2024,4310,1830.0,1660,2620.0,54.42,455.5,5,3.027027821700188,2.6634079170556793,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
2022,4891,1937.0,1680,2998.0,88.1,640.666666666667,5,3.197676686485871,3.1959619909384864,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False
2026,4800,1930.0,1750,2800.0,78.0,630.0,5,3.027027821700188,3.1959619909384864,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False
2022,4780,1837.0,1495,2850.06533428117,68.8,510.0,5,3.057032760779528,3.17871221731275,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
2022,4775,1890.0,1670,2765.0,22.45,169.0,5,3.027027821700188,2.6634079170556793,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2023,4500,1870.0,1655,2820.0,58.86,500.0,5,3.0976896923951696,2.8964051774756765,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
2024,4870,1890.0,1500,2820.0,76.22,600.0,5,3.027027821700188,2.6634079170556793,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False
2021,4530,1860.0,1628,2770.0,69.0,503.333333333333,5,3.0976896923951696,3.1959619909384864,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
2022,4915,1962.0,1755,2910.0,75.5,500.0,5,3.0976896923951696,3.1959619909384864,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
2021,4125,1770.0,1570,2700.0,37.8,369.0,5,3.027027821700188,2.6634079170556793,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
2023,4892,1905.0,1655,2954.0,80.0,505.0,5,2.8057939001126773,3.1959619909384864,False,False,True,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False
2023,5020,1999.0,1460,3020.0,94.5,675.0,5,3.0976896923951696,3.6652144182541018,False,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False
2023,4690,1936.0,1650,2845.0,72.1,590.0,5,3.0976896923951696,2.8964051774756765,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
2021,4340,1820.0,1625,2640.0,49.46,371.127283102961,5,3.0976896923951696,3.6652144182541018,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True
2026,5250,1995.0,1800,3100.0,48.9,257.5,7,3.6323883145124656,3.1959619909384864,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False
2022,4980,1960.0,1599,2915.0,74.5,500.0,5,3.0976896923951696,2.8964051774756765,False,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False
2021,3495,1660.0,1560,2475.0,32.075,350.0,4,3.0976896923951696,2.8964051774756765,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
2024,4788,1838.0,1570,2735.0,68.8,54.5,5,3.057032760779528,3.17871221731275,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
2022,4912,1987.0,1720,2960.0,87.5,552.5,5,3.0976896923951696,3.1959619909384864,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False
2023,4035,1736.0,1625,2480.0,36.45,262.5,5,3.0976896923951696,3.1959619909384864,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True
2022,5003,1977.0,1637,3094.0,99.7,579.5,5,3.0976896923951696,3.17871221731275,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False
